broccoli,artichokes
cabbage,artichokes
celery,artichokes
kale,artichokes
carrots,tomato
green pepper,tomato
red pepper,tomato
peppers,tomato
potato,tomato
squash,tomato
avocado,tomato
corn,tomato
turnip,olive
radish,olive
watercress,olive
water chestnut,olive
walnuts,pine nuts
peanuts,pine nuts
almonds,pine nuts
pecans,pine nuts
cashews,pine nuts
hazelnuts,pine nuts
oats,bread crumbs
bran,bread crumbs
croutons,bread crumbs
corn flakes,bread crumbs
pickles,capers
berries,capers
cherries,capers
blueberries,capers
strawberries,capers
rasberries,capers
blackberries,capers
jalapeno,capers
pistachios,capers
hot peppers,capers
bacon,prosciutto
ham,prosciutto
turkey,prosciutto
pork,prosciutto
blue cheese,mozzarella cheese
feta cheese,mozzarella cheese
gouda cheese,mozzarella cheese
camembert cheese,mozzarella cheese
roquefort cheese,mozzarella cheese
queso seco,mozzarella cheese
paremsan cheese,mozzarella cheese
romano cheese,mozzarella cheese
american cheese,mozzarella cheese
cheddar cheese,mozzarella cheese
swiss cheese,mozzarella cheese
provolone ,mozzarella cheese
canola oil,olive oil
vegetable oil,olive oil
butter,olive oil
mustard,balsamic vinegar
mayonnaise,balsamic vinegar
sriracha,balsamic vinegar
hot sauce,balsamic vinegar
worcestershire sauce,balsamic vinegar
ketchup,balsamic vinegar
syrup,wine
beer,wine
skotch,wine
vodka,wine
skotch,wine
bourbon,wine
whiskey,wine
gin,wine
chives,oregano
cinnamon,oregano
rosemary,thyme
chili powder,garlic
curry powder,garlic
marjoram,basil
mint,basil
curry suace,pesto
salsa,pesto
pico de gallo,pesto
steak sauce,alfredo sauce
hollandaise,alfredo sauce
gravy,alfredo sauce
white sauce,alfredo sauce
tartar sauce,alfredo sauce
soy sauce,marinara sauce
horseradish,marinara sauce
red sauce,marinara sauce
quinoa,fettucine
couscous,penne pasta
noodles,spaghetti
dumpling,tortellini
pot sticker,tortellini
white rice,arborio rice
brown rice,arborio rice
rice,arborio rice
grated cheese,parmesan cheese
cheese whiz,parmesan cheese
