50% cracked wheat kernel bread,Wholegrain pumpernickel bread
All-Bran,Natural muesli
Bagel,Heavy mixed grain bread
Baguette,Sourdough rye
Baked Potato,Yam
Banana,Peach
Banana Cake,Carrot cake
Basmati Rice,Long grain rice
Blueberry muffin,Carrot cake
Boiled potato,Yam
Bran Buds,Natural muesli
Branflakes,Natural muesli
Canned Potato,Yam
Cheerios,Natural muesli
Coca Cola,Apple juice
Coco Pops,Natural muesli
Cornflakes,Natural muesli
Cornmeal,Bulgur
Couscous,Pearled barley
Cranberry juice cocktail,Apple juice
Cream of Wheat,Steel cut oats
Croissant,Wholegrain pumpernickel bread
Date,Prune
Donut,Wholegrain pumpernickel bread
Fanta,Apple Juice
Fig,Apricot
French Fries,Yam
Fruit Roll-Ups,Apple
Gatorade,Apple Juice
Glutinous Rice,Brown rice
Gnocchi,Ravioli
Graham crackers,Oatmeal crackers
Grape-nuts,Steel cut oats
Grapes,Plums
Hamburger bun,Wholegrain pumpernickel bread
Honey,Agave
Ice Cream,Yogurt
Instant Mashed Potatoes,Yam
Instant oatmeal,Steel cut oats
Instant White Rice,Brown rice
Kaiser roll,Wholegrain pumpernickel bread
Lucozade,Apple juice
Mango,Orange
Maple flavoured syrup,Agave
Mashed Potatoes,Yam
Mini Wheats,Steel cut oats
Nutrigrain,Muesli
Oatmeal,Steel cut oats
Papaya,Peach
Parsnips,Carrots
Pasta,Quinoa
Pineapple,Peach
Pita bread,Wholegrain pumpernickel bread
Pizza,Meat ravioli
Popcorn,Corn chips
Porridge Oats,Steel cut oats
Pretzels,Corn chips
Puffed Crispbread,Wholegrain pumpernickel bread
Puffed Wheat,Natural muesli
Pumpkin,Yam
Raisin Bran,Natural muesli
Raisins,Prunes
Rice cakes,Corn chips
Rice Krispies,Natural muesli
Rice Vermicelli,Spaghetti
Rye crisps,Corn chips
Scones,Wholegrain pumpernickel bread
Short Grain White Rice,Brown rice
Shortbread,Wholegrain pumpernickel bread
Shredded Wheat,Steel cut oats
Soda crackers,Corn chips
Special K,Steel cut oats
Sultana Bran,Natural muesli
Sweet corn,Yam
Sweet potato,Yam
Taco Shells,Corn chips
Total,Natural muesli
Vanilla wafers,Oatmeal crackers
Waffles,Wholegrain pumpernickel bread
water crackers,Corn chips
Watermelon,Apple
Weetabix,Natural muesli
White bread,Wholegrain pumpernickel bread
White rice,Brown rice
Whole wheat bread,Wholegrain pumpernickel bread
Wholemeal Rye,Wholegrain pumpernickel bread
Wild Rice,Brown rice
Wonder bread,Wholegrain pumpernickel bread
