beef,seitan
steak,portabello mushrooms
liver,tofu
tripe,tofu
pork,tempeh
ham,tempeh
bacon,veggie bacon
sausage,tofu
veal,seitan
lamb,seitan
chicken,eggplant
bison,seitan
buffalo,seitan
venison,seitan
guineafowl,eggplant
carp,mashed chickpeas
catfish,mashed chickpeas
salmon,mashed chickpeas
tilapia,mashed chickpeas
trout,mashed chickpeas
crayfish,mashed chickpeas
lobster,mashed chickpeas
shrimp,mashed chickpeas
prawns,mashed chickpeas
oyster,mashed chickpeas
mussel,mashed chickpeas
snail,mashed chickpeas
goat,tofu
alligator,tofu
frog,beans
turtle,beans
turkey,eggplant
caribou,seitan
sheep,tempeh
quail,eggplant
rabbit,beans
moose,seitan
deer,seitan
reindeer,seitan
boar,tempeh
pheasant,eggplant
goose,eggplant
egg,substitute
